Split,Noise,NominalSNR_dB,Method,N,MeanInputSNR_dB,MeanOutputSNR_dB,MeanSNRImprovement_dB,StdSNRImprovement_dB,FiniteSTOIRows,MeanSTOI
development,car,0,unprocessed,2,-0.743276126071189,-0.743276126071189,0,0,2,0.666217471590591
development,car,0,fixed,2,-0.743276126071189,7.54924817257293,8.29252429864412,0.130454938978601,2,0.678608260885659
development,car,0,vad,2,-0.743276126071189,6.48064801228886,7.22392413836005,0.990235574528959,2,0.664840653667175
development,car,5,unprocessed,2,4.30793844836485,4.30793844836485,0,0,2,0.755185197283953
development,car,5,fixed,2,4.30793844836485,10.5482585544367,6.24032010607181,0.889267234544493,2,0.776821745826664
development,car,5,vad,2,4.30793844836485,10.3259514820671,6.01801303370226,0.955714451875402,2,0.757059644807166
development,car,10,unprocessed,2,9.22308561975809,9.22308561975809,0,0,2,0.850174808030141
development,car,10,fixed,2,9.22308561975809,12.7574127597068,3.53432713994872,0.499738960753667,2,0.855388490810176
development,car,10,vad,2,9.22308561975809,12.9475886804925,3.72450306073441,0.322992952806841,2,0.848112582110222
development,car,15,unprocessed,2,14.288357339797,14.288357339797,0,0,2,0.920133593469503
development,car,15,fixed,2,14.288357339797,18.1741666969545,3.88580935715745,1.21881175330068,2,0.936847408655106
development,car,15,vad,2,14.288357339797,17.8305012962386,3.54214395644159,0.993536428124367,2,0.92781697392226
development,street,0,unprocessed,2,-0.769352860432452,-0.769352860432452,0,0,2,0.657512536641524
development,street,0,fixed,2,-0.769352860432452,4.65992838289502,5.42928124332748,2.2834902711826,2,0.635406398583582
development,street,0,vad,2,-0.769352860432452,4.90668002496178,5.67603288539423,0.704995176475457,2,0.636257129541858
development,street,5,unprocessed,2,4.20620015988324,4.20620015988324,0,0,2,0.758991443846113
development,street,5,fixed,2,4.20620015988324,8.00843738119602,3.80223722131278,3.2224865530547,2,0.758026516446041
development,street,5,vad,2,4.20620015988324,8.09348894770895,3.88728878782571,3.36898520880005,2,0.750058706715
development,street,10,unprocessed,2,9.55948432152638,9.55948432152638,0,0,2,0.872357659627091
development,street,10,fixed,2,9.55948432152638,11.1012477340851,1.54176341255875,0.752510828595898,2,0.842268042441078
development,street,10,vad,2,9.55948432152638,12.0434999014436,2.48401557991719,0.94626456711074,2,0.850832919998237
development,street,15,unprocessed,2,14.221594802956,14.221594802956,0,0,2,0.916694662943101
development,street,15,fixed,2,14.221594802956,16.8819153208585,2.66032051790252,0.0988349502384297,2,0.930587560694505
development,street,15,vad,2,14.221594802956,17.4940005919855,3.27240578902942,0.320065720435147,2,0.926947718268649
evaluation,car,0,unprocessed,4,-0.459078379727956,-0.459078379727956,0,0,4,0.631297425029299
evaluation,car,0,fixed,4,-0.459078379727956,5.28766525867398,5.74674363840194,1.01363864491878,4,0.63288451417223
evaluation,car,0,vad,4,-0.459078379727956,5.00524510802041,5.46432348774837,0.531810113495498,4,0.627410751056972
evaluation,car,5,unprocessed,4,4.51181467005204,4.51181467005204,0,0,4,0.750959377836046
evaluation,car,5,fixed,4,4.51181467005204,8.8292485722873,4.31743390223526,0.797813319470628,4,0.761607839854892
evaluation,car,5,vad,4,4.51181467005204,8.66801815093604,4.156203480884,0.429305258315039,4,0.743941304078778
evaluation,car,10,unprocessed,4,9.83824853401144,9.83824853401144,0,0,4,0.866805736065858
evaluation,car,10,fixed,4,9.83824853401144,12.0287785442047,2.19053001019324,1.36791821642501,4,0.855487633446931
evaluation,car,10,vad,4,9.83824853401144,12.7599523180384,2.92170378402695,0.669768554529827,4,0.855856988590281
evaluation,car,15,unprocessed,4,14.5210483078302,14.5210483078302,0,0,4,0.934429941549511
evaluation,car,15,fixed,4,14.5210483078302,17.1102435008969,2.58919519306678,0.794447616326554,4,0.935552179030913
evaluation,car,15,vad,4,14.5210483078302,17.0198309244385,2.49878261660831,0.777761871418072,4,0.929240357396928
evaluation,street,0,unprocessed,4,-0.357273907001644,-0.357273907001644,0,0,4,0.697223736378239
evaluation,street,0,fixed,4,-0.357273907001644,4.02769226067643,4.38496616767808,0.832947947471113,4,0.673417491802158
evaluation,street,0,vad,4,-0.357273907001644,3.99202323826341,4.34929714526506,1.26003926089012,4,0.683659562926697
evaluation,street,5,unprocessed,4,4.69854800614978,4.69854800614978,0,0,4,0.760054202777766
evaluation,street,5,fixed,4,4.69854800614978,7.82682958830605,3.12828158215627,1.95479645621391,4,0.743655003550871
evaluation,street,5,vad,4,4.69854800614978,8.03940658922565,3.34085858307587,1.84468354314783,4,0.737348317126977
evaluation,street,10,unprocessed,4,9.76066526528549,9.76066526528549,0,0,4,0.898273110016319
evaluation,street,10,fixed,4,9.76066526528549,11.1249203999822,1.36425513469667,1.85220795935661,4,0.87410970298753
evaluation,street,10,vad,4,9.76066526528549,11.4120895407683,1.65142427548282,1.45761951083664,4,0.873873880674554
evaluation,street,15,unprocessed,4,14.7264770689961,14.7264770689961,0,0,4,0.93794756779199
evaluation,street,15,fixed,4,14.7264770689961,15.6435198309827,0.917042761986578,2.42964054060847,4,0.920463790070246
evaluation,street,15,vad,4,14.7264770689961,15.755357222618,1.0288801536219,2.1011106850792,4,0.91347270497716
