NoiseVariation_dB,ProxySpeechFrames,ProxyNonSpeechFrames,ValidFrames,InitialCleanToResidual_dB,InputWholeRecordSNR_dB,CaseID,Utterance,Split,Noise,NominalSNR_dB,Fs_Hz,Samples,EvaluationStartSample
2.46150646031882,173,53,269,-44.5486101005613,-0.669824597827188,sp01_car_0dB,sp01,development,car,0,8000,22529,801
2.79087672990229,173,53,269,-41.2334121723695,4.33018403833625,sp01_car_5dB,sp01,development,car,5,8000,22529,801
3.94020364399216,173,53,269,-33.1025014773755,9.33019582393071,sp01_car_10dB,sp01,development,car,10,8000,22529,801
2.28416772236182,173,53,269,-31.0197319763904,14.3302384430132,sp01_car_15dB,sp01,development,car,15,8000,22529,801
3.37128201271493,173,53,269,-44.8128451830526,-0.669837497584322,sp01_street_0dB,sp01,development,street,0,8000,22529,801
9.01948651106336,173,53,269,-32.6800905348057,4.33016565985197,sp01_street_5dB,sp01,development,street,5,8000,22529,801
12.6679272949517,173,53,269,-38.7008650022936,9.33012470503856,sp01_street_10dB,sp01,development,street,10,8000,22529,801
6.36323830671735,173,53,269,-28.3104486239979,14.3300321826756,sp01_street_15dB,sp01,development,street,15,8000,22529,801
2.30750039047582,166,58,260,-51.9198635868112,-0.751730742933353,sp06_car_0dB,sp06,evaluation,car,0,8000,21801,801
4.09438094880982,166,58,260,-45.0774600747728,4.24828863235032,sp06_car_5dB,sp06,evaluation,car,5,8000,21801,801
3.58719867503223,166,58,260,-47.9577277201285,9.24826543338995,sp06_car_10dB,sp06,evaluation,car,10,8000,21801,801
2.18906748107621,166,58,260,-36.5116061827508,14.2484211999532,sp06_car_15dB,sp06,evaluation,car,15,8000,21801,801
10.1130638712974,166,58,260,-53.1355396426915,-0.751732803297417,sp06_street_0dB,sp06,evaluation,street,0,8000,21801,801
3.47471859496131,166,58,260,-45.2450114429786,4.24827531166986,sp06_street_5dB,sp06,evaluation,street,5,8000,21801,801
8.39718269935331,166,58,260,-44.345410175905,9.24827996598034,sp06_street_10dB,sp06,evaluation,street,10,8000,21801,801
2.76853113626732,166,58,260,-37.5379065388671,14.2483187796364,sp06_street_15dB,sp06,evaluation,street,15,8000,21801,801
4.5795383970228,204,58,280,-52.1957237452135,-0.593389101607191,sp11_car_0dB,sp11,evaluation,car,0,8000,23436,801
2.65145400910016,204,58,280,-48.3821097674595,4.40661797145591,sp11_car_5dB,sp11,evaluation,car,5,8000,23436,801
3.39208720003406,204,58,280,-49.2218791756709,9.40654859035824,sp11_car_10dB,sp11,evaluation,car,10,8000,23436,801
4.14095173909433,204,58,280,-35.6722885304989,14.4065034346847,sp11_car_15dB,sp11,evaluation,car,15,8000,23436,801
8.84417849436816,204,58,280,-49.0885086849033,-0.593399034575573,sp11_street_0dB,sp11,evaluation,street,0,8000,23436,801
10.190468773144,204,58,280,-54.2951067105261,4.40658236771374,sp11_street_5dB,sp11,evaluation,street,5,8000,23436,801
12.397943626405,204,58,280,-50.3951846825932,9.40663401480415,sp11_street_10dB,sp11,evaluation,street,10,8000,23436,801
5.04753448819567,204,58,280,-40.2397259383936,14.4065815706061,sp11_street_15dB,sp11,evaluation,street,15,8000,23436,801
2.29719143613599,110,78,220,-48.1549500360409,-1.12457273428848,sp16_car_0dB,sp16,development,car,0,8000,18621,801
2.13664499525584,110,78,220,-43.963745906677,3.87550152886669,sp16_car_5dB,sp16,development,car,5,8000,18621,801
5.40334864433068,110,78,220,-37.3916542815541,8.87539124198693,sp16_car_10dB,sp16,development,car,10,8000,18621,801
2.78063398628414,110,78,220,-33.3179959309775,13.875404989731,sp16_car_15dB,sp16,development,car,15,8000,18621,801
4.86571930377723,110,78,220,-46.2673686476624,-1.12453792833463,sp16_street_0dB,sp16,development,street,0,8000,18621,801
5.36690856506273,110,78,220,-43.3560960407858,3.87545403018787,sp16_street_5dB,sp16,development,street,5,8000,18621,801
8.08797560610036,110,78,220,-43.0283461897317,8.8754355944102,sp16_street_10dB,sp16,development,street,10,8000,18621,801
4.83520754325154,110,78,220,-32.1525637849084,13.8754796271423,sp16_street_15dB,sp16,development,street,15,8000,18621,801
2.71969707725742,210,67,338,-36.6768848037679,-0.673813059848348,sp21_car_0dB,sp21,evaluation,car,0,8000,28064,801
4.10499239203702,210,67,338,-29.1787622567465,4.32619956388038,sp21_car_5dB,sp21,evaluation,car,5,8000,28064,801
2.65065440950148,210,67,338,-24.0990382632665,9.32615126024286,sp21_car_10dB,sp21,evaluation,car,10,8000,28064,801
2.14737666664215,210,67,338,-21.5219491940959,14.326259717813,sp21_car_15dB,sp21,evaluation,car,15,8000,28064,801
5.94329585967698,210,67,338,-35.0761373451377,-0.673785895274694,sp21_street_0dB,sp21,evaluation,street,0,8000,28064,801
7.01970110585406,210,67,338,-28.6307566330797,4.32623256068531,sp21_street_5dB,sp21,evaluation,street,5,8000,28064,801
10.9556271773833,210,67,338,-19.7786177527704,9.32615708861456,sp21_street_10dB,sp21,evaluation,street,10,8000,28064,801
6.0274964853906,210,67,338,-19.7054793076539,14.326130965042,sp21_street_15dB,sp21,evaluation,street,15,8000,28064,801
2.18136239753239,189,20,237,-42.4178549349093,-0.485882660936052,sp26_car_0dB,sp26,evaluation,car,0,8000,19934,801
3.01526028096324,189,20,237,-36.6875656138411,4.51409980919572,sp26_car_5dB,sp26,evaluation,car,5,8000,19934,801
2.35604484495388,189,20,237,-33.1159824252592,9.51411963894837,sp26_car_10dB,sp26,evaluation,car,10,8000,19934,801
2.20091767294421,189,20,237,-27.0632738953475,14.5140296606023,sp26_car_15dB,sp26,evaluation,car,15,8000,19934,801
13.1523464312579,189,20,237,-47.4394813035882,-0.485862741171037,sp26_street_0dB,sp26,evaluation,street,0,8000,19934,801
13.4130633905979,189,20,237,-39.6690079636492,4.51411427794898,sp26_street_5dB,sp26,evaluation,street,5,8000,19934,801
6.00917538199985,189,20,237,-31.952674646141,9.51408468148559,sp26_street_10dB,sp26,evaluation,street,10,8000,19934,801
11.4827641448403,189,20,237,-33.2956657909043,14.514072341014,sp26_street_15dB,sp26,evaluation,street,15,8000,19934,801
