CaseID,Utterance,Split,Noise,NominalSNR_dB,Method,InputSNR_dB,OutputSNR_dB,SNRImprovement_dB,STOI,Runtime_s,NoiseVariation_dB,PeakAbsolute,ProxySpeechMissFraction,ProxyNonSpeechFalseAlarmFraction,UpdateOnSpeechProxyFraction,NoiseUpdateFraction
sp01_car_0dB,sp01,development,car,0,unprocessed,-0.532643284015246,-0.532643284015246,0,0.602659992632317,NaN,2.46150646031882,0.351715087890625,NaN,NaN,NaN,NaN
sp01_car_0dB,sp01,development,car,0,fixed,-0.532643284015246,7.66763544263783,8.20027872665307,0.609298190871339,0.023464,2.46150646031882,0.325566477432563,0.265895953757225,0.0188679245283019,0,0
sp01_car_0dB,sp01,development,car,0,vad,-0.532643284015246,5.99107856462322,6.52372184863846,0.605079897751517,0.020209,2.46150646031882,0.312738936432946,0.398843930635838,0,0.398843930635838,0.605947955390335
sp01_car_5dB,sp01,development,car,5,unprocessed,4.53392961404049,4.53392961404049,0,0.709560175556763,NaN,2.79087672990229,0.342071533203125,NaN,NaN,NaN,NaN
sp01_car_5dB,sp01,development,car,5,fixed,4.53392961404049,10.1454428282789,5.61151321423839,0.732351609009394,0.021267,2.79087672990229,0.315399867145939,0.271676300578035,0.0188679245283019,0,0
sp01_car_5dB,sp01,development,car,5,vad,4.53392961404049,9.87615047794367,5.34222086390318,0.719301899001147,0.02333,2.79087672990229,0.314558104116805,0.260115606936416,0.264150943396226,0.260115606936416,0.449814126394052
sp01_car_10dB,sp01,development,car,10,unprocessed,9.42808242278373,9.42808242278373,0,0.838113883615653,NaN,3.94020364399216,0.33612060546875,NaN,NaN,NaN,NaN
sp01_car_10dB,sp01,development,car,10,fixed,9.42808242278373,12.6090407547604,3.18095833197669,0.823567506518958,0.02296,3.94020364399216,0.340707294384574,0.0520231213872832,0.509433962264151,0,0
sp01_car_10dB,sp01,development,car,10,vad,9.42808242278373,12.924194976313,3.49611255352923,0.81842048816541,0.022961,3.94020364399216,0.340932406863607,0.0520231213872832,0.30188679245283,0.0520231213872832,0.271375464684015
sp01_car_15dB,sp01,development,car,15,unprocessed,14.5239826587895,14.5239826587895,0,0.929100102404287,NaN,2.28416772236182,0.33648681640625,NaN,NaN,NaN,NaN
sp01_car_15dB,sp01,development,car,15,fixed,14.5239826587895,17.5479619601981,3.02397930140867,0.925541814422587,0.018869,2.28416772236182,0.343133426993328,0.0635838150289017,0.169811320754717,0,0
sp01_car_15dB,sp01,development,car,15,vad,14.5239826587895,17.3635902695485,2.83960761075899,0.914652924095371,0.01877,2.28416772236182,0.342445941695578,0.0635838150289017,0.169811320754717,0.0635838150289017,0.308550185873606
sp01_street_0dB,sp01,development,street,0,unprocessed,-0.523904524147694,-0.523904524147694,0,0.583602995485649,NaN,3.37128201271493,0.4534912109375,NaN,NaN,NaN,NaN
sp01_street_0dB,sp01,development,street,0,fixed,-0.523904524147694,6.5200481747065,7.0439526988542,0.558090107233052,0.018725,3.37128201271493,0.291451761870337,0.317919075144509,0.113207547169811,0,0
sp01_street_0dB,sp01,development,street,0,vad,-0.523904524147694,5.65063523123614,6.17453975538383,0.56310633468424,0.018255,3.37128201271493,0.286660483705746,0.369942196531792,0.0377358490566038,0.369942196531792,0.565055762081784
sp01_street_5dB,sp01,development,street,5,unprocessed,4.3580220227584,4.3580220227584,0,0.742245176622523,NaN,9.01948651106336,0.337890625,NaN,NaN,NaN,NaN
sp01_street_5dB,sp01,development,street,5,fixed,4.3580220227584,5.88161715012373,1.52359512736533,0.737994781479711,0.021764,9.01948651106336,0.344113601904583,0,0.924528301886792,0,0
sp01_street_5dB,sp01,development,street,5,vad,4.3580220227584,5.86307852372442,1.50505650096602,0.737652120371682,0.021134,9.01948651106336,0.343303963952957,0,0.924528301886792,0,0.0185873605947955
sp01_street_10dB,sp01,development,street,10,unprocessed,9.69645521854457,9.69645521854457,0,0.888890059544175,NaN,12.6679272949517,0.3543701171875,NaN,NaN,NaN,NaN
sp01_street_10dB,sp01,development,street,10,fixed,9.69645521854457,10.7061131212869,1.00965790274229,0.824176833144935,0.018286,12.6679272949517,0.337929832039481,0.15606936416185,0.0566037735849057,0,0
sp01_street_10dB,sp01,development,street,10,vad,9.69645521854457,11.5113607062612,1.81490548771663,0.83452567059973,0.018602,12.6679272949517,0.337742572250981,0.104046242774566,0.169811320754717,0.104046242774566,0.360594795539033
sp01_street_15dB,sp01,development,street,15,unprocessed,14.4327733611192,14.4327733611192,0,0.920297399428282,NaN,6.36323830671735,0.339019775390625,NaN,NaN,NaN,NaN
sp01_street_15dB,sp01,development,street,15,fixed,14.4327733611192,17.0232070154899,2.59043365437069,0.915938262051967,0.01921,6.36323830671735,0.343777923015226,0.023121387283237,0.867924528301887,0,0
